3,0,235
3,1,90
3,0,65
3,0,65
3,0,60
3,1,80
3,0,48
3,0,48
3,0,185
3,1,90
3,0,325
3,0,290
3,0,75
3,1,60
3,0,45
2,1,57
2,0,62
2,0,105
2,0,60
2,0,60
2,1,37
2,1,42
2,0,29
2,0,17
2,0,55
2,0,39
2,0,69
2,0,30
2,0,60
2,0,40
2,1,68
2,1,42
2,0,28
2,1,18
2,0,69
2,1,25
2,0,30
2,0,60
2,0,30
2,0,36
2,0,25
2,1,45
2,0,23
2,0,36
2,1,38
2,0,85
2,0,50
2,0,60
2,0,85
2,0,45
2,1,19
2,0,15
2,0,54
2,1,85
2,1,38
2,0,28
2,0,75
2,0,42
2,0,25
2,0,59
2,0,85
2,0,80
2,1,45
2,0,22
2,0,65
2,0,50
1,0,10
1,1,13
1,0,10
1,0,14
1,1,18
1,0,36
1,0,15
1,1,24
1,0,50
1,0,48
1,1,20
1,1,17
1,0,12
1,1,10
1,1,13
1,1,45
1,0,12
1,0,125
1,1,25
1,1,20
1,0,15
1,0,15
1,0,7
2,0,59
2,0,49
2,1,93
2,0,32
2,0,20
2,0,100
2,0,50
2,1,45
2,1,45
2,0,26
2,1,16
2,0,30
2,0,42
2,0,38
2,0,48
2,1,28
2,0,25
2,1,26
2,1,24
2,0,55
2,0,36
2,1,17
2,0,40
1,0,50
1,1,24
1,1,21
1,0,20
1,0,20
1,0,19
1,0,42
1,0,35
1,0,16
1,1,23
1,0,36
1,0,25
1,0,22
1,1,25
1,0,42
1,0,30
1,0,17
1,0,49
1,0,16
1,0,57
1,0,29
1,0,61
1,1,25
1,0,25
1,0,49
1,0,26
1,0,34
1,0,38
1,0,38
1,0,22
1,0,15
1,0,20
1,0,25
1,0,20
1,0,20
1,0,25
1,1,10
1,0,18
1,1,18
1,1,14
1,1,14
1,0,40
1,0,18
1,0,20
1,0,11
1,0,36
1,0,20
1,0,32
2,0,55
2,0,49
2,0,50
2,0,58
2,1,39
2,1,65
2,0,35
2,0,80
2,1,42
2,1,61
2,0,38
2,1,48
2,0,50
2,0,58
2,1,120
2,0,50
2,0,80
2,0,40
2,0,41
2,0,48
2,0,200
2,0,39
2,0,62
2,0,43
2,1,35
2,1,48
2,1,55
2,0,40
2,0,69
1,0,16
1,1,16
1,0,15
1,1,13
1,1,28
1,0,36
1,1,24
1,0,25
1,0,34
1,0,60
1,0,54
1,0,56
1,1,20
1,0,61
1,0,46
1,0,40
1,0,39
1,0,49
1,1,23
1,1,16
1,0,32
1,1,18
1,0,15
2,0,92
2,1,94
2,1,58
2,0,50
2,0,32
2,1,27
2,1,35
2,1,95
2,0,43
2,0,30
2,0,100
2,0,35
2,1,60
2,0,16
2,1,40
2,0,60
2,0,100
2,1,16
2,0,42
2,0,20
2,1,23
2,0,38
2,0,32
2,0,60
2,1,30
2,0,85
2,1,30
2,0,65
2,1,57
2,0,90
2,0,85
2,0,70
2,0,70
2,0,60
2,0,155
2,0,48
2,0,95
2,0,49
2,0,50
2,0,95
2,0,50
2,0,70
2,1,63
2,0,75
2,1,23
2,0,50
2,1,22
2,1,45
2,0,130
2,0,30
2,0,22
2,0,90
2,0,60
2,0,115
2,0,55
2,0,30
2,1,48
2,1,40
2,0,60
2,1,50
2,0,48
2,1,54
2,0,42
2,0,40
2,1,40
2,0,42
2,0,85
2,0,41
2,0,33
2,0,70
2,0,19
2,0,25
2,1,30
2,1,15
2,0,45
2,0,80
2,1,18
2,1,31
2,0,15
2,0,15
2,0,24
2,0,80
2,0,50
2,0,28
2,0,36
2,0,40
2,1,50
2,0,75
2,0,46
2,0,70
2,1,26
2,1,32
2,1,20
2,0,27
2,0,20
2,0,75
2,1,28
2,1,60
2,1,22
2,1,49
2,1,30
2,0,35
2,0,38
2,0,32
1,0,36
1,0,30
1,0,20
1,0,32
1,1,20
1,1,30
